id,segment,region,channel,product,quantity,price,revenue,discount,created_at
1,Enterprise,South,Partner,Product_02,2,27,47,7,2026-04-02
2,MidMarket,East,Retail,Product_03,3,44,118,14,2026-04-03
3,Startup,West,Web,Product_04,4,61,223,21,2026-04-04
4,SMB,Central,Partner,Product_05,5,78,362,28,2026-04-05
5,Enterprise,North,Retail,Product_06,6,95,565,5,2026-04-06
6,MidMarket,South,Web,Product_07,7,112,772,12,2026-04-07
7,Startup,East,Partner,Product_08,8,129,1013,19,2026-04-08
8,SMB,West,Retail,Product_09,9,146,1288,26,2026-04-09
9,Enterprise,Central,Web,Product_10,10,163,1627,3,2026-04-10
10,MidMarket,North,Partner,Product_11,11,180,1970,10,2026-04-11
11,Startup,South,Retail,Product_12,12,197,2347,17,2026-04-12
12,SMB,East,Web,Product_01,13,214,2758,24,2026-04-13
13,Enterprise,West,Partner,Product_02,14,231,3233,1,2026-04-14
14,MidMarket,Central,Retail,Product_03,15,248,3712,8,2026-04-15
15,Startup,North,Web,Product_04,16,25,385,15,2026-04-16
16,SMB,South,Partner,Product_05,17,42,692,22,2026-04-17
17,Enterprise,East,Retail,Product_06,18,59,1033,29,2026-04-18
18,MidMarket,West,Web,Product_07,19,76,1438,6,2026-04-19
19,Startup,Central,Partner,Product_08,20,93,1847,13,2026-04-20
20,SMB,North,Retail,Product_09,1,110,90,20,2026-04-21
21,Enterprise,South,Web,Product_10,2,127,227,27,2026-04-22
22,MidMarket,East,Partner,Product_11,3,144,428,4,2026-04-23
23,Startup,West,Retail,Product_12,4,161,633,11,2026-04-24
24,SMB,Central,Web,Product_01,5,178,872,18,2026-04-25
25,Enterprise,North,Partner,Product_02,6,195,1145,25,2026-04-26
26,MidMarket,South,Retail,Product_03,7,212,1482,2,2026-04-27
27,Startup,East,Web,Product_04,8,229,1823,9,2026-04-28
28,SMB,West,Partner,Product_05,9,246,2198,16,2026-04-01
29,Enterprise,Central,Retail,Product_06,10,23,207,23,2026-04-02
30,MidMarket,North,Web,Product_07,11,40,440,0,2026-04-03
31,Startup,South,Partner,Product_08,12,57,677,7,2026-04-04
32,SMB,East,Retail,Product_09,13,74,948,14,2026-04-05
33,Enterprise,West,Web,Product_10,14,91,1253,21,2026-04-06
34,MidMarket,Central,Partner,Product_11,15,108,1592,28,2026-04-07
35,Startup,North,Retail,Product_12,16,125,1995,5,2026-04-08
36,SMB,South,Web,Product_01,17,142,2402,12,2026-04-09
37,Enterprise,East,Partner,Product_02,18,159,2843,19,2026-04-10
38,MidMarket,West,Retail,Product_03,19,176,3318,26,2026-04-11
39,Startup,Central,Web,Product_04,20,193,3857,3,2026-04-12
40,SMB,North,Partner,Product_05,1,210,200,10,2026-04-13
41,Enterprise,South,Retail,Product_06,2,227,437,17,2026-04-14
42,MidMarket,East,Web,Product_07,3,244,708,24,2026-04-15
43,Startup,West,Partner,Product_08,4,21,83,1,2026-04-16
44,SMB,Central,Retail,Product_09,5,38,182,8,2026-04-17
45,Enterprise,North,Web,Product_10,6,55,315,15,2026-04-18
46,MidMarket,South,Partner,Product_11,7,72,482,22,2026-04-19
47,Startup,East,Retail,Product_12,8,89,683,29,2026-04-20
48,SMB,West,Web,Product_01,9,106,948,6,2026-04-21
49,Enterprise,Central,Partner,Product_02,10,123,1217,13,2026-04-22
50,MidMarket,North,Retail,Product_03,11,140,1520,20,2026-04-23
51,Startup,South,Web,Product_04,12,157,1857,27,2026-04-24
52,SMB,East,Partner,Product_05,13,174,2258,4,2026-04-25
53,Enterprise,West,Retail,Product_06,14,191,2663,11,2026-04-26
54,MidMarket,Central,Web,Product_07,15,208,3102,18,2026-04-27
55,Startup,North,Partner,Product_08,16,225,3575,25,2026-04-28
56,SMB,South,Retail,Product_09,17,242,4112,2,2026-04-01
57,Enterprise,East,Web,Product_10,18,19,333,9,2026-04-02
58,MidMarket,West,Partner,Product_11,19,36,668,16,2026-04-03
59,Startup,Central,Retail,Product_12,20,53,1037,23,2026-04-04
60,SMB,North,Web,Product_01,1,70,70,0,2026-04-05
61,Enterprise,South,Partner,Product_02,2,87,167,7,2026-04-06
62,MidMarket,East,Retail,Product_03,3,104,298,14,2026-04-07
63,Startup,West,Web,Product_04,4,121,463,21,2026-04-08
64,SMB,Central,Partner,Product_05,5,138,662,28,2026-04-09
65,Enterprise,North,Retail,Product_06,6,155,925,5,2026-04-10
66,MidMarket,South,Web,Product_07,7,172,1192,12,2026-04-11
67,Startup,East,Partner,Product_08,8,189,1493,19,2026-04-12
68,SMB,West,Retail,Product_09,9,206,1828,26,2026-04-13
69,Enterprise,Central,Web,Product_10,10,223,2227,3,2026-04-14
70,MidMarket,North,Partner,Product_11,11,240,2630,10,2026-04-15
71,Startup,South,Retail,Product_12,12,17,187,17,2026-04-16
72,SMB,East,Web,Product_01,13,34,418,24,2026-04-17
73,Enterprise,West,Partner,Product_02,14,51,713,1,2026-04-18
74,MidMarket,Central,Retail,Product_03,15,68,1012,8,2026-04-19
75,Startup,North,Web,Product_04,16,85,1345,15,2026-04-20
76,SMB,South,Partner,Product_05,17,102,1712,22,2026-04-21
77,Enterprise,East,Retail,Product_06,18,119,2113,29,2026-04-22
78,MidMarket,West,Web,Product_07,19,136,2578,6,2026-04-23
79,Startup,Central,Partner,Product_08,20,153,3047,13,2026-04-24
80,SMB,North,Retail,Product_09,1,170,150,20,2026-04-25
81,Enterprise,South,Web,Product_10,2,187,347,27,2026-04-26
82,MidMarket,East,Partner,Product_11,3,204,608,4,2026-04-27
83,Startup,West,Retail,Product_12,4,221,873,11,2026-04-28
84,SMB,Central,Web,Product_01,5,238,1172,18,2026-04-01
85,Enterprise,North,Partner,Product_02,6,15,65,25,2026-04-02
86,MidMarket,South,Retail,Product_03,7,32,222,2,2026-04-03
87,Startup,East,Web,Product_04,8,49,383,9,2026-04-04
88,SMB,West,Partner,Product_05,9,66,578,16,2026-04-05
89,Enterprise,Central,Retail,Product_06,10,83,807,23,2026-04-06
90,MidMarket,North,Web,Product_07,11,100,1100,0,2026-04-07
91,Startup,South,Partner,Product_08,12,117,1397,7,2026-04-08
92,SMB,East,Retail,Product_09,13,134,1728,14,2026-04-09
93,Enterprise,West,Web,Product_10,14,151,2093,21,2026-04-10
94,MidMarket,Central,Partner,Product_11,15,168,2492,28,2026-04-11
95,Startup,North,Retail,Product_12,16,185,2955,5,2026-04-12
96,SMB,South,Web,Product_01,17,202,3422,12,2026-04-13
97,Enterprise,East,Partner,Product_02,18,219,3923,19,2026-04-14
98,MidMarket,West,Retail,Product_03,19,236,4458,26,2026-04-15
99,Startup,Central,Web,Product_04,20,13,257,3,2026-04-16
100,SMB,North,Partner,Product_05,1,30,20,10,2026-04-17
101,Enterprise,South,Retail,Product_06,2,47,77,17,2026-04-18
102,MidMarket,East,Web,Product_07,3,64,168,24,2026-04-19
103,Startup,West,Partner,Product_08,4,81,323,1,2026-04-20
104,SMB,Central,Retail,Product_09,5,98,482,8,2026-04-21
105,Enterprise,North,Web,Product_10,6,115,675,15,2026-04-22
106,MidMarket,South,Partner,Product_11,7,132,902,22,2026-04-23
107,Startup,East,Retail,Product_12,8,149,1163,29,2026-04-24
108,SMB,West,Web,Product_01,9,166,1488,6,2026-04-25
109,Enterprise,Central,Partner,Product_02,10,183,1817,13,2026-04-26
110,MidMarket,North,Retail,Product_03,11,200,2180,20,2026-04-27
111,Startup,South,Web,Product_04,12,217,2577,27,2026-04-28
112,SMB,East,Partner,Product_05,13,234,3038,4,2026-04-01
113,Enterprise,West,Retail,Product_06,14,11,143,11,2026-04-02
114,MidMarket,Central,Web,Product_07,15,28,402,18,2026-04-03
115,Startup,North,Partner,Product_08,16,45,695,25,2026-04-04
116,SMB,South,Retail,Product_09,17,62,1052,2,2026-04-05
117,Enterprise,East,Web,Product_10,18,79,1413,9,2026-04-06
118,MidMarket,West,Partner,Product_11,19,96,1808,16,2026-04-07
119,Startup,Central,Retail,Product_12,20,113,2237,23,2026-04-08
120,SMB,North,Web,Product_01,1,130,130,0,2026-04-09
121,Enterprise,South,Partner,Product_02,2,147,287,7,2026-04-10
122,MidMarket,East,Retail,Product_03,3,164,478,14,2026-04-11
123,Startup,West,Web,Product_04,4,181,703,21,2026-04-12
124,SMB,Central,Partner,Product_05,5,198,962,28,2026-04-13
125,Enterprise,North,Retail,Product_06,6,215,1285,5,2026-04-14
126,MidMarket,South,Web,Product_07,7,232,1612,12,2026-04-15
127,Startup,East,Partner,Product_08,8,249,1973,19,2026-04-16
128,SMB,West,Retail,Product_09,9,26,208,26,2026-04-17
129,Enterprise,Central,Web,Product_10,10,43,427,3,2026-04-18
130,MidMarket,North,Partner,Product_11,11,60,650,10,2026-04-19
131,Startup,South,Retail,Product_12,12,77,907,17,2026-04-20
132,SMB,East,Web,Product_01,13,94,1198,24,2026-04-21
133,Enterprise,West,Partner,Product_02,14,111,1553,1,2026-04-22
134,MidMarket,Central,Retail,Product_03,15,128,1912,8,2026-04-23
135,Startup,North,Web,Product_04,16,145,2305,15,2026-04-24
136,SMB,South,Partner,Product_05,17,162,2732,22,2026-04-25
137,Enterprise,East,Retail,Product_06,18,179,3193,29,2026-04-26
138,MidMarket,West,Web,Product_07,19,196,3718,6,2026-04-27
139,Startup,Central,Partner,Product_08,20,213,4247,13,2026-04-28
140,SMB,North,Retail,Product_09,1,230,210,20,2026-04-01
141,Enterprise,South,Web,Product_10,2,247,467,27,2026-04-02
142,MidMarket,East,Partner,Product_11,3,24,68,4,2026-04-03
143,Startup,West,Retail,Product_12,4,41,153,11,2026-04-04
144,SMB,Central,Web,Product_01,5,58,272,18,2026-04-05
145,Enterprise,North,Partner,Product_02,6,75,425,25,2026-04-06
146,MidMarket,South,Retail,Product_03,7,92,642,2,2026-04-07
147,Startup,East,Web,Product_04,8,109,863,9,2026-04-08
148,SMB,West,Partner,Product_05,9,126,1118,16,2026-04-09
149,Enterprise,Central,Retail,Product_06,10,143,1407,23,2026-04-10
150,MidMarket,North,Web,Product_07,11,160,1760,0,2026-04-11
151,Startup,South,Partner,Product_08,12,177,2117,7,2026-04-12
152,SMB,East,Retail,Product_09,13,194,2508,14,2026-04-13
153,Enterprise,West,Web,Product_10,14,211,2933,21,2026-04-14
154,MidMarket,Central,Partner,Product_11,15,228,3392,28,2026-04-15
155,Startup,North,Retail,Product_12,16,245,3915,5,2026-04-16
156,SMB,South,Web,Product_01,17,22,362,12,2026-04-17
157,Enterprise,East,Partner,Product_02,18,39,683,19,2026-04-18
158,MidMarket,West,Retail,Product_03,19,56,1038,26,2026-04-19
159,Startup,Central,Web,Product_04,20,73,1457,3,2026-04-20
160,SMB,North,Partner,Product_05,1,90,80,10,2026-04-21
161,Enterprise,South,Retail,Product_06,2,107,197,17,2026-04-22
162,MidMarket,East,Web,Product_07,3,124,348,24,2026-04-23
163,Startup,West,Partner,Product_08,4,141,563,1,2026-04-24
164,SMB,Central,Retail,Product_09,5,158,782,8,2026-04-25
165,Enterprise,North,Web,Product_10,6,175,1035,15,2026-04-26
166,MidMarket,South,Partner,Product_11,7,192,1322,22,2026-04-27
167,Startup,East,Retail,Product_12,8,209,1643,29,2026-04-28
168,SMB,West,Web,Product_01,9,226,2028,6,2026-04-01
169,Enterprise,Central,Partner,Product_02,10,243,2417,13,2026-04-02
170,MidMarket,North,Retail,Product_03,11,20,200,20,2026-04-03
171,Startup,South,Web,Product_04,12,37,417,27,2026-04-04
172,SMB,East,Partner,Product_05,13,54,698,4,2026-04-05
173,Enterprise,West,Retail,Product_06,14,71,983,11,2026-04-06
174,MidMarket,Central,Web,Product_07,15,88,1302,18,2026-04-07
175,Startup,North,Partner,Product_08,16,105,1655,25,2026-04-08
176,SMB,South,Retail,Product_09,17,122,2072,2,2026-04-09
177,Enterprise,East,Web,Product_10,18,139,2493,9,2026-04-10
178,MidMarket,West,Partner,Product_11,19,156,2948,16,2026-04-11
179,Startup,Central,Retail,Product_12,20,173,3437,23,2026-04-12
180,SMB,North,Web,Product_01,1,190,190,0,2026-04-13
181,Enterprise,South,Partner,Product_02,2,207,407,7,2026-04-14
182,MidMarket,East,Retail,Product_03,3,224,658,14,2026-04-15
183,Startup,West,Web,Product_04,4,241,943,21,2026-04-16
184,SMB,Central,Partner,Product_05,5,18,62,28,2026-04-17
185,Enterprise,North,Retail,Product_06,6,35,205,5,2026-04-18
186,MidMarket,South,Web,Product_07,7,52,352,12,2026-04-19
187,Startup,East,Partner,Product_08,8,69,533,19,2026-04-20
188,SMB,West,Retail,Product_09,9,86,748,26,2026-04-21
189,Enterprise,Central,Web,Product_10,10,103,1027,3,2026-04-22
190,MidMarket,North,Partner,Product_11,11,120,1310,10,2026-04-23
191,Startup,South,Retail,Product_12,12,137,1627,17,2026-04-24
192,SMB,East,Web,Product_01,13,154,1978,24,2026-04-25
193,Enterprise,West,Partner,Product_02,14,171,2393,1,2026-04-26
194,MidMarket,Central,Retail,Product_03,15,188,2812,8,2026-04-27
195,Startup,North,Web,Product_04,16,205,3265,15,2026-04-28
196,SMB,South,Partner,Product_05,17,222,3752,22,2026-04-01
197,Enterprise,East,Retail,Product_06,18,239,4273,29,2026-04-02
198,MidMarket,West,Web,Product_07,19,16,298,6,2026-04-03
199,Startup,Central,Partner,Product_08,20,33,647,13,2026-04-04
200,SMB,North,Retail,Product_09,1,50,30,20,2026-04-05
201,Enterprise,South,Web,Product_10,2,67,107,27,2026-04-06
202,MidMarket,East,Partner,Product_11,3,84,248,4,2026-04-07
203,Startup,West,Retail,Product_12,4,101,393,11,2026-04-08
204,SMB,Central,Web,Product_01,5,118,572,18,2026-04-09
205,Enterprise,North,Partner,Product_02,6,135,785,25,2026-04-10
206,MidMarket,South,Retail,Product_03,7,152,1062,2,2026-04-11
207,Startup,East,Web,Product_04,8,169,1343,9,2026-04-12
208,SMB,West,Partner,Product_05,9,186,1658,16,2026-04-13
209,Enterprise,Central,Retail,Product_06,10,203,2007,23,2026-04-14
210,MidMarket,North,Web,Product_07,11,220,2420,0,2026-04-15
211,Startup,South,Partner,Product_08,12,237,2837,7,2026-04-16
212,SMB,East,Retail,Product_09,13,14,168,14,2026-04-17
213,Enterprise,West,Web,Product_10,14,31,413,21,2026-04-18
214,MidMarket,Central,Partner,Product_11,15,48,692,28,2026-04-19
215,Startup,North,Retail,Product_12,16,65,1035,5,2026-04-20
216,SMB,South,Web,Product_01,17,82,1382,12,2026-04-21
217,Enterprise,East,Partner,Product_02,18,99,1763,19,2026-04-22
218,MidMarket,West,Retail,Product_03,19,116,2178,26,2026-04-23
219,Startup,Central,Web,Product_04,20,133,2657,3,2026-04-24
220,SMB,North,Partner,Product_05,1,150,140,10,2026-04-25
221,Enterprise,South,Retail,Product_06,2,167,317,17,2026-04-26
222,MidMarket,East,Web,Product_07,3,184,528,24,2026-04-27
223,Startup,West,Partner,Product_08,4,201,803,1,2026-04-28
224,SMB,Central,Retail,Product_09,5,218,1082,8,2026-04-01
225,Enterprise,North,Web,Product_10,6,235,1395,15,2026-04-02
226,MidMarket,South,Partner,Product_11,7,12,62,22,2026-04-03
227,Startup,East,Retail,Product_12,8,29,203,29,2026-04-04
228,SMB,West,Web,Product_01,9,46,408,6,2026-04-05
229,Enterprise,Central,Partner,Product_02,10,63,617,13,2026-04-06
230,MidMarket,North,Retail,Product_03,11,80,860,20,2026-04-07
231,Startup,South,Web,Product_04,12,97,1137,27,2026-04-08
232,SMB,East,Partner,Product_05,13,114,1478,4,2026-04-09
233,Enterprise,West,Retail,Product_06,14,131,1823,11,2026-04-10
234,MidMarket,Central,Web,Product_07,15,148,2202,18,2026-04-11
235,Startup,North,Partner,Product_08,16,165,2615,25,2026-04-12
236,SMB,South,Retail,Product_09,17,182,3092,2,2026-04-13
237,Enterprise,East,Web,Product_10,18,199,3573,9,2026-04-14
238,MidMarket,West,Partner,Product_11,19,216,4088,16,2026-04-15
239,Startup,Central,Retail,Product_12,20,233,4637,23,2026-04-16
240,SMB,North,Web,Product_01,1,10,10,0,2026-04-17
241,Enterprise,South,Partner,Product_02,2,27,47,7,2026-04-18
242,MidMarket,East,Retail,Product_03,3,44,118,14,2026-04-19
243,Startup,West,Web,Product_04,4,61,223,21,2026-04-20
244,SMB,Central,Partner,Product_05,5,78,362,28,2026-04-21
245,Enterprise,North,Retail,Product_06,6,95,565,5,2026-04-22
246,MidMarket,South,Web,Product_07,7,112,772,12,2026-04-23
247,Startup,East,Partner,Product_08,8,129,1013,19,2026-04-24
248,SMB,West,Retail,Product_09,9,146,1288,26,2026-04-25
249,Enterprise,Central,Web,Product_10,10,163,1627,3,2026-04-26
250,MidMarket,North,Partner,Product_11,11,180,1970,10,2026-04-27
251,Startup,South,Retail,Product_12,12,197,2347,17,2026-04-28
252,SMB,East,Web,Product_01,13,214,2758,24,2026-04-01
253,Enterprise,West,Partner,Product_02,14,231,3233,1,2026-04-02
254,MidMarket,Central,Retail,Product_03,15,248,3712,8,2026-04-03
255,Startup,North,Web,Product_04,16,25,385,15,2026-04-04
256,SMB,South,Partner,Product_05,17,42,692,22,2026-04-05
257,Enterprise,East,Retail,Product_06,18,59,1033,29,2026-04-06
258,MidMarket,West,Web,Product_07,19,76,1438,6,2026-04-07
259,Startup,Central,Partner,Product_08,20,93,1847,13,2026-04-08
260,SMB,North,Retail,Product_09,1,110,90,20,2026-04-09
261,Enterprise,South,Web,Product_10,2,127,227,27,2026-04-10
262,MidMarket,East,Partner,Product_11,3,144,428,4,2026-04-11
263,Startup,West,Retail,Product_12,4,161,633,11,2026-04-12
264,SMB,Central,Web,Product_01,5,178,872,18,2026-04-13
265,Enterprise,North,Partner,Product_02,6,195,1145,25,2026-04-14
266,MidMarket,South,Retail,Product_03,7,212,1482,2,2026-04-15
267,Startup,East,Web,Product_04,8,229,1823,9,2026-04-16
268,SMB,West,Partner,Product_05,9,246,2198,16,2026-04-17
269,Enterprise,Central,Retail,Product_06,10,23,207,23,2026-04-18
270,MidMarket,North,Web,Product_07,11,40,440,0,2026-04-19
271,Startup,South,Partner,Product_08,12,57,677,7,2026-04-20
272,SMB,East,Retail,Product_09,13,74,948,14,2026-04-21
273,Enterprise,West,Web,Product_10,14,91,1253,21,2026-04-22
274,MidMarket,Central,Partner,Product_11,15,108,1592,28,2026-04-23
275,Startup,North,Retail,Product_12,16,125,1995,5,2026-04-24
276,SMB,South,Web,Product_01,17,142,2402,12,2026-04-25
277,Enterprise,East,Partner,Product_02,18,159,2843,19,2026-04-26
278,MidMarket,West,Retail,Product_03,19,176,3318,26,2026-04-27
279,Startup,Central,Web,Product_04,20,193,3857,3,2026-04-28
280,SMB,North,Partner,Product_05,1,210,200,10,2026-04-01
281,Enterprise,South,Retail,Product_06,2,227,437,17,2026-04-02
282,MidMarket,East,Web,Product_07,3,244,708,24,2026-04-03
283,Startup,West,Partner,Product_08,4,21,83,1,2026-04-04
284,SMB,Central,Retail,Product_09,5,38,182,8,2026-04-05
285,Enterprise,North,Web,Product_10,6,55,315,15,2026-04-06
286,MidMarket,South,Partner,Product_11,7,72,482,22,2026-04-07
287,Startup,East,Retail,Product_12,8,89,683,29,2026-04-08
288,SMB,West,Web,Product_01,9,106,948,6,2026-04-09
289,Enterprise,Central,Partner,Product_02,10,123,1217,13,2026-04-10
290,MidMarket,North,Retail,Product_03,11,140,1520,20,2026-04-11
291,Startup,South,Web,Product_04,12,157,1857,27,2026-04-12
292,SMB,East,Partner,Product_05,13,174,2258,4,2026-04-13
293,Enterprise,West,Retail,Product_06,14,191,2663,11,2026-04-14
294,MidMarket,Central,Web,Product_07,15,208,3102,18,2026-04-15
295,Startup,North,Partner,Product_08,16,225,3575,25,2026-04-16
296,SMB,South,Retail,Product_09,17,242,4112,2,2026-04-17
297,Enterprise,East,Web,Product_10,18,19,333,9,2026-04-18
298,MidMarket,West,Partner,Product_11,19,36,668,16,2026-04-19
299,Startup,Central,Retail,Product_12,20,53,1037,23,2026-04-20
300,SMB,North,Web,Product_01,1,70,70,0,2026-04-21
301,Enterprise,South,Partner,Product_02,2,87,167,7,2026-04-22
302,MidMarket,East,Retail,Product_03,3,104,298,14,2026-04-23
303,Startup,West,Web,Product_04,4,121,463,21,2026-04-24
304,SMB,Central,Partner,Product_05,5,138,662,28,2026-04-25
305,Enterprise,North,Retail,Product_06,6,155,925,5,2026-04-26
306,MidMarket,South,Web,Product_07,7,172,1192,12,2026-04-27
307,Startup,East,Partner,Product_08,8,189,1493,19,2026-04-28
308,SMB,West,Retail,Product_09,9,206,1828,26,2026-04-01
309,Enterprise,Central,Web,Product_10,10,223,2227,3,2026-04-02
310,MidMarket,North,Partner,Product_11,11,240,2630,10,2026-04-03
311,Startup,South,Retail,Product_12,12,17,187,17,2026-04-04
312,SMB,East,Web,Product_01,13,34,418,24,2026-04-05
313,Enterprise,West,Partner,Product_02,14,51,713,1,2026-04-06
314,MidMarket,Central,Retail,Product_03,15,68,1012,8,2026-04-07
315,Startup,North,Web,Product_04,16,85,1345,15,2026-04-08
316,SMB,South,Partner,Product_05,17,102,1712,22,2026-04-09
317,Enterprise,East,Retail,Product_06,18,119,2113,29,2026-04-10
318,MidMarket,West,Web,Product_07,19,136,2578,6,2026-04-11
319,Startup,Central,Partner,Product_08,20,153,3047,13,2026-04-12
320,SMB,North,Retail,Product_09,1,170,150,20,2026-04-13
321,Enterprise,South,Web,Product_10,2,187,347,27,2026-04-14
322,MidMarket,East,Partner,Product_11,3,204,608,4,2026-04-15
323,Startup,West,Retail,Product_12,4,221,873,11,2026-04-16
324,SMB,Central,Web,Product_01,5,238,1172,18,2026-04-17
325,Enterprise,North,Partner,Product_02,6,15,65,25,2026-04-18
326,MidMarket,South,Retail,Product_03,7,32,222,2,2026-04-19
327,Startup,East,Web,Product_04,8,49,383,9,2026-04-20
328,SMB,West,Partner,Product_05,9,66,578,16,2026-04-21
329,Enterprise,Central,Retail,Product_06,10,83,807,23,2026-04-22
330,MidMarket,North,Web,Product_07,11,100,1100,0,2026-04-23
331,Startup,South,Partner,Product_08,12,117,1397,7,2026-04-24
332,SMB,East,Retail,Product_09,13,134,1728,14,2026-04-25
333,Enterprise,West,Web,Product_10,14,151,2093,21,2026-04-26
